gameDuration,victory,FirstBlood,Dragon,Baron,Tower,Inhibitor
1767,0,0,2,0,3,0
1921,0,1,2,1,3,0
1474,0,1,1,0,0,0
1897,1,1,3,1,8,1
2597,1,0,2,1,8,3
1702,0,1,2,0,4,0
2564,0,1,0,1,5,0
1786,1,1,3,0,9,1
1531,0,0,0,0,1,0
1504,0,1,1,0,3,0
2275,1,1,5,1,10,5
1398,1,0,2,0,9,2
2196,1,1,3,1,10,2
1298,0,0,0,0,0,0
2114,1,0,4,0,7,1
1898,1,1,3,0,10,2
2043,1,1,2,1,6,1
2000,1,0,4,1,11,4
1947,0,0,0,0,2,0
2584,1,0,3,0,8,1
1515,0,1,0,0,1,0
1808,0,0,0,0,0,0
2139,0,0,1,0,3,0
1970,0,0,0,0,3,0
1727,0,0,2,0,2,0
2874,0,1,3,1,8,2
1699,0,0,0,0,0,0
3144,1,0,1,2,8,3
2409,1,1,2,0,10,2
1859,1,0,1,0,7,1
2259,1,0,0,1,10,2
2617,0,1,4,1,8,2
1850,0,1,0,0,0,0
1811,1,0,2,0,10,3
1780,0,1,0,0,1,0
1801,1,0,3,1,9,2
1769,1,1,2,0,7,1
1773,0,1,1,1,4,1
1722,0,0,0,0,4,0
1600,0,1,1,0,1,0
2122,0,0,3,0,2,0
1585,0,1,1,0,3,0
1793,0,0,0,0,0,0
2237,1,0,3,0,9,1
1158,0,0,1,0,1,0
2524,1,1,3,0,8,2
2196,0,0,2,0,4,0
2059,1,0,2,1,8,1
1776,0,1,1,0,1,0
2174,0,0,2,1,3,0
2167,0,1,2,1,6,1
1254,0,0,0,0,1,0
2012,1,1,1,1,10,2
2196,1,1,1,1,8,1
1789,1,0,2,1,9,1
2065,0,1,0,0,4,0
1656,0,0,0,0,0,0
2260,0,1,2,1,7,1
1800,1,1,2,0,8,1
1568,1,0,1,0,9,2
2393,0,0,0,0,3,0
2023,1,1,4,1,9,2
1508,1,1,2,1,11,2
1683,1,0,1,1,10,2
2120,0,0,2,0,3,0
1636,1,1,2,1,8,2
2540,0,0,0,1,7,0
1475,0,1,2,0,6,1
3548,0,0,2,1,10,3
2106,1,1,2,1,8,1
1874,0,1,2,0,3,0
2045,1,1,1,1,8,1
2959,0,1,3,0,5,0
2661,1,0,3,1,10,2
1616,1,0,2,0,10,2
1639,0,0,0,0,0,0
1441,0,1,0,0,1,0
1399,0,0,0,0,1,0
1461,0,0,0,0,0,0
1797,1,1,3,1,11,4
1849,1,0,1,0,9,2
2308,1,0,4,2,11,5
2167,0,1,1,0,2,0
1065,0,0,0,0,0,0
2073,1,1,3,0,8,1
1516,0,1,1,0,1,0
2562,1,0,4,2,11,2
2014,1,1,1,1,7,1
1378,0,0,1,0,1,0
1714,0,0,0,0,4,0
2023,0,1,0,1,6,0
2058,1,0,1,1,9,1
2184,1,1,2,1,8,1
2649,1,0,3,1,7,2
1400,0,0,0,0,0,0
