,A,C
CHI622_mean,81.40625,76.97142857142858
MATH622_mean,90.75,89.2
ENG622_mean,89.96875,91.25714285714285
CHI622_var,28.700604838709676,26.26386554621849
MATH622_var,19.93548387096774,71.69411764705883
ENG622_var,32.16028225806452,37.608403361344536
