id,StuId,Class,Sex,CHI611,MATH611,ENG611,CHI612,MATH612,ENG612,CHI621,MATH621,ENG621,CHI622,MATH622,ENG622,CHI711,MATH711,ENG711,CHI712,MATH712,ENG712,CHI721,MATH721,ENG721,CHI722,MATH722,ENG722,CHI811,MATH811,ENG811,PHY811,CHI812,MATH812,ENG812,PHY812,CHI821,MATH821,ENG821,PHY821,CHI822,MATH822,ENG822,PHY822,CHI911,MATH911,ENG911,PHY911,CHE911,CHI912,MATH912,ENG912,PHY912,CHE912,CHI921,MATH921,ENG921,PHY921,CHE921
43,B02,B,F,79.0,96.0,94.0,78.0,94.0,96.0,75.0,96.0,96.0,77.0,92.0,97.0,70.0,93.0,94.0,83.0,97.0,97.0,77.0,95.0,97.0,81.0,95.0,97.0,78.0,91.0,93.0,99.0,92.0,88.0,97.0,91.0,81.0,92.0,96.0,87.0,68.0,76.0,78.66666666666667,97.0,81.33333333333333,81.33333333333333,92.0,88.0,54.0,88.66666666666667,95.33333333333333,96.0,94.0,97.0,85.33333333333333,93.33333333333333,93.66666666666667,87.0,56.0
44,B03,B,F,79.0,97.0,99.0,80.0,99.0,98.0,90.0,100.0,98.0,82.0,99.0,98.0,77.0,95.0,97.0,88.0,97.0,97.5,83.0,94.0,98.0,80.0,90.0,96.0,86.0,99.0,97.0,97.0,91.0,90.0,98.0,98.0,84.0,95.0,97.0,96.0,67.33333333333333,78.0,78.0,99.0,90.66666666666667,94.66666666666667,91.33333333333333,85.0,57.0,84.0,98.66666666666667,97.66666666666667,95.0,95.0,86.66666666666667,89.33333333333333,97.33333333333333,86.0,55.0
45,B04,B,F,83.0,100.0,94.0,73.0,96.0,91.0,86.0,95.0,94.0,75.0,91.0,95.0,83.0,95.0,91.0,78.0,99.0,98.0,81.0,93.0,92.0,78.0,92.0,96.0,89.0,93.0,86.0,96.0,84.0,92.0,97.0,85.0,83.0,96.0,94.0,95.0,59.333333333333336,70.0,73.0,99.0,84.66666666666667,90.0,84.0,82.0,55.0,81.33333333333333,94.66666666666667,92.33333333333333,88.0,93.0,81.33333333333333,92.0,91.66666666666667,80.0,53.0
46,B05,B,F,76.0,91.0,94.0,89.0,97.0,98.0,89.0,100.0,95.0,88.0,95.0,97.0,87.0,97.0,98.0,86.0,100.0,97.0,82.0,93.0,94.0,85.0,88.0,99.0,84.0,96.0,95.0,96.0,87.0,95.0,98.0,92.0,89.0,89.0,93.0,100.0,66.0,80.0,77.66666666666667,99.0,91.33333333333333,96.66666666666667,88.66666666666667,83.0,59.0,90.0,96.66666666666667,96.0,95.0,93.0,81.33333333333333,96.0,97.33333333333333,88.0,58.0
47,B06,B,F,78.0,93.0,95.0,87.0,100.0,100.0,91.0,97.0,98.0,90.0,93.0,98.0,84.0,95.0,99.0,91.0,97.0,97.0,86.0,94.0,96.0,86.0,89.0,99.0,92.0,98.0,100.0,97.0,87.0,93.0,99.0,86.0,83.0,91.0,98.0,95.0,66.66666666666667,78.66666666666667,77.0,99.0,93.33333333333333,96.0,91.33333333333333,90.0,57.0,86.66666666666667,96.0,97.66666666666667,98.0,97.0,89.33333333333333,90.66666666666667,98.33333333333333,88.0,57.0
48,B07,B,F,82.0,96.0,98.0,88.0,92.0,100.0,90.0,96.0,99.0,89.0,95.0,98.0,82.0,90.0,97.0,88.0,88.0,99.0,89.0,91.0,97.0,88.0,86.0,96.0,90.0,83.0,96.0,95.0,88.0,86.0,98.0,92.0,81.0,79.0,93.0,91.0,62.666666666666664,62.0,79.33333333333333,98.0,90.0,94.0,89.33333333333333,81.0,54.0,90.0,97.33333333333333,94.33333333333333,92.0,95.0,86.0,90.0,96.66666666666667,85.0,45.0
49,B08,B,F,77.0,93.0,97.0,81.0,86.0,92.0,85.0,95.0,98.0,82.0,90.0,97.0,80.0,92.0,95.0,80.0,89.0,94.0,84.0,85.0,94.0,80.0,84.0,92.0,82.0,91.0,96.0,84.0,87.0,72.0,92.0,83.0,76.0,78.0,90.0,86.0,60.0,64.66666666666667,77.66666666666667,86.0,84.66666666666667,90.66666666666667,88.66666666666667,80.0,49.0,88.0,94.66666666666667,95.33333333333333,84.0,95.0,80.0,77.33333333333333,92.0,82.0,47.0
50,B09,B,F,79.0,95.0,91.0,82.0,94.0,91.0,82.0,95.0,93.0,81.0,95.0,92.0,82.0,93.0,88.0,85.0,98.0,95.5,86.0,82.0,93.0,72.0,94.0,92.0,89.0,86.0,90.0,93.0,91.0,88.0,94.0,88.0,80.0,89.0,91.0,92.0,64.66666666666667,73.33333333333333,70.33333333333333,99.0,84.0,90.66666666666667,85.33333333333333,76.0,49.0,86.0,98.0,96.0,87.0,89.0,84.66666666666667,95.33333333333333,87.33333333333333,84.0,49.0
51,B10,B,F,80.0,96.0,88.0,81.0,95.0,95.0,85.0,94.0,99.0,84.0,95.0,97.0,87.0,94.0,95.0,89.0,92.0,96.5,80.0,95.0,95.0,86.0,90.0,93.0,89.0,97.0,95.0,95.0,89.0,84.0,96.0,89.0,82.0,88.0,93.0,94.0,70.0,69.33333333333333,77.33333333333333,96.0,82.0,92.66666666666667,90.0,77.0,48.0,88.0,95.33333333333333,94.0,88.0,93.0,86.0,84.66666666666667,93.33333333333333,85.0,52.0
52,B11,B,F,78.0,99.0,89.0,81.0,92.0,87.0,79.0,97.0,95.0,84.0,98.0,94.0,79.0,95.0,95.0,85.0,96.0,91.5,75.0,98.0,95.0,79.0,92.0,92.0,77.0,95.0,89.0,92.0,88.0,87.0,97.0,94.0,76.0,85.0,93.0,93.0,60.666666666666664,68.66666666666667,75.0,94.0,84.0,91.33333333333333,84.0,79.0,50.0,86.66666666666667,92.66666666666667,93.33333333333333,83.0,92.0,79.33333333333333,90.66666666666667,90.66666666666667,87.0,54.0
53,B12,B,F,79.0,93.0,94.0,82.0,93.0,92.0,79.0,96.0,93.0,81.0,94.0,92.0,76.0,88.0,85.0,83.0,95.0,89.0,77.0,92.0,92.0,79.0,87.0,86.0,78.0,98.0,85.0,96.0,86.0,94.0,89.0,91.0,78.0,82.0,89.0,81.0,60.0,72.66666666666667,70.33333333333333,93.0,83.33333333333333,88.0,84.66666666666667,80.0,52.0,78.0,88.66666666666667,93.66666666666667,88.0,87.0,80.66666666666667,93.33333333333333,92.0,83.0,49.0
54,B13,B,F,73.0,92.0,84.0,85.0,86.0,89.0,89.0,95.0,84.0,85.0,96.0,91.0,82.0,93.0,90.0,83.0,100.0,92.0,81.0,92.0,88.0,78.0,94.0,90.0,87.0,97.0,84.0,93.0,89.0,92.0,86.0,86.0,82.0,82.0,88.0,92.0,64.0,76.66666666666667,69.0,100.0,90.0,97.33333333333333,82.66666666666667,85.0,55.0,81.33333333333333,96.66666666666667,93.0,94.0,88.0,83.33333333333333,90.0,92.66666666666667,81.0,54.0
55,B14,B,F,71.0,84.0,87.0,75.0,84.0,94.0,81.0,84.0,93.0,78.0,82.0,86.0,69.0,83.0,83.0,76.0,84.0,91.0,77.0,81.0,88.0,72.0,74.0,88.0,77.0,68.0,79.0,88.0,79.0,46.0,88.0,74.0,70.0,76.0,83.0,80.0,51.333333333333336,64.66666666666667,68.33333333333333,83.0,72.0,70.0,82.0,72.0,46.0,74.66666666666667,77.33333333333333,90.66666666666667,80.0,78.0,70.0,82.0,88.0,69.0,41.0
56,B15,B,F,80.0,98.0,88.0,77.0,88.0,89.0,86.0,89.0,97.0,83.0,90.0,94.0,83.0,91.0,90.0,83.0,88.0,90.0,80.0,85.0,92.0,79.0,68.0,86.0,84.0,85.0,89.0,94.0,86.0,64.0,87.0,84.0,87.0,81.0,90.0,77.0,57.333333333333336,50.666666666666664,69.66666666666667,98.0,83.33333333333333,55.333333333333336,80.0,70.0,45.0,82.66666666666667,82.0,89.33333333333333,64.0,59.0,86.66666666666667,72.66666666666667,91.0,75.0,37.0
57,B16,B,F,77.0,87.0,90.0,79.0,81.0,91.0,86.0,84.0,92.0,77.0,95.0,94.0,80.0,95.0,90.0,85.0,97.0,92.0,77.0,91.0,93.0,83.0,89.0,91.0,83.0,97.0,87.0,97.0,90.0,76.0,92.0,90.0,76.0,85.0,89.0,93.0,62.0,63.333333333333336,76.33333333333333,99.0,86.66666666666667,94.66666666666667,90.0,78.0,54.0,83.33333333333333,91.33333333333333,94.0,81.0,84.0,80.0,93.33333333333333,92.0,83.0,53.0
58,B17,B,F,69.0,54.0,34.0,66.0,40.0,47.0,67.0,66.0,33.0,59.0,56.0,39.0,67.0,72.0,34.0,59.0,51.0,28.5,42.0,35.0,30.0,65.0,24.0,29.0,72.0,6.0,26.0,54.0,71.0,1.0,21.0,52.0,63.0,8.0,40.0,54.0,43.333333333333336,16.666666666666668,17.666666666666668,60.0,72.0,8.666666666666666,22.0,48.0,21.0,79.0,87.33333333333333,86.83333333333333,83.0,86.0,70.0,26.666666666666668,36.333333333333336,47.0,23.0
59,B18,B,F,75.0,93.0,78.0,71.0,98.0,84.0,85.0,98.0,84.0,78.0,92.0,84.0,77.0,92.0,70.0,78.5,89.0,87.5,72.0,92.0,79.0,72.0,91.0,80.0,86.0,95.0,91.0,99.0,89.0,92.0,68.0,87.0,75.0,85.0,73.0,94.0,59.333333333333336,72.66666666666667,56.666666666666664,93.0,78.66666666666667,92.66666666666667,64.66666666666667,85.0,55.0,85.33333333333333,89.33333333333333,79.33333333333333,90.0,91.0,76.0,87.33333333333333,76.33333333333333,83.0,54.0
60,B19,B,M,87.0,100.0,90.0,77.0,97.0,86.0,90.0,95.0,92.0,80.0,95.0,94.0,77.0,93.0,92.0,79.0,98.0,90.0,80.0,90.0,90.0,73.0,83.0,90.0,81.0,93.0,92.0,97.0,86.0,82.0,89.0,93.0,75.0,86.0,86.0,97.0,58.0,70.0,71.33333333333333,95.0,84.0,86.66666666666667,76.0,89.0,48.0,78.66666666666667,94.66666666666667,87.66666666666667,95.0,90.0,78.66666666666667,88.0,92.66666666666667,84.0,53.0
61,B20,B,M,79.0,100.0,93.0,79.0,88.0,90.0,77.0,97.0,93.0,77.0,98.0,91.0,73.0,95.0,89.0,79.0,92.0,90.0,72.0,96.0,91.0,77.0,90.0,86.0,80.0,95.0,82.0,96.0,87.0,93.0,87.0,87.0,75.0,90.0,84.0,91.0,62.666666666666664,69.33333333333333,74.66666666666667,95.0,79.33333333333333,98.66666666666667,82.66666666666667,81.0,56.0,78.0,96.0,92.33333333333333,97.0,93.0,80.0,97.33333333333333,91.66666666666667,87.0,57.0
62,B21,B,M,82.0,100.0,86.0,84.0,93.0,97.0,88.0,97.0,97.0,83.0,100.0,96.0,88.0,95.0,98.0,89.0,100.0,97.0,84.0,87.0,98.0,86.0,92.0,97.0,87.0,100.0,95.0,98.0,89.0,96.0,96.0,95.0,84.0,94.0,98.0,95.0,70.0,76.0,77.66666666666667,94.0,84.66666666666667,89.33333333333333,96.66666666666667,89.0,59.0,82.66666666666667,96.0,97.0,95.0,97.0,82.0,92.66666666666667,95.33333333333333,89.0,57.0
63,B22,B,M,78.0,92.0,88.0,79.0,85.0,88.0,79.0,92.0,90.0,67.0,89.0,87.0,81.0,96.0,89.0,73.0,91.0,90.5,79.0,84.0,87.0,74.0,79.0,84.0,72.0,72.0,81.0,86.0,84.0,66.0,81.0,74.0,74.0,80.0,84.0,82.0,62.666666666666664,66.66666666666667,67.66666666666667,90.0,76.66666666666667,79.33333333333333,80.66666666666667,69.0,46.0,76.66666666666667,78.66666666666667,89.33333333333333,83.0,77.0,82.0,80.66666666666667,86.33333333333333,75.0,38.0
